arcsinh_cutoff=3_num_outliers_total	arcsinh_cutoff=3_num_outliers_x	arcsinh_cutoff=3_num_outliers_y	arcsinh_cutoff=4_num_outliers_total	arcsinh_cutoff=4_num_outliers_x	arcsinh_cutoff=4_num_outliers_y	arcsinh_cutoff=5_num_outliers_total	arcsinh_cutoff=5_num_outliers_x	arcsinh_cutoff=5_num_outliers_y	cell_type	condition	fcs_filename	file_origin	marker_x	marker_y	no-arcsinh_cutoff=3_num_outliers_total	no-arcsinh_cutoff=3_num_outliers_x	no-arcsinh_cutoff=3_num_outliers_y	no-arcsinh_cutoff=4_num_outliers_total	no-arcsinh_cutoff=4_num_outliers_x	no-arcsinh_cutoff=4_num_outliers_y	no-arcsinh_cutoff=5_num_outliers_total	no-arcsinh_cutoff=5_num_outliers_x	no-arcsinh_cutoff=5_num_outliers_y	num_of_cells	with_outliers_arcsinh_DREMI_score	with_outliers_no-arcsinh_DREMI_score	wo_outliers_arcsinh_cutoff=3_std_DREMI_score	wo_outliers_arcsinh_cutoff=4_std_DREMI_score	wo_outliers_arcsinh_cutoff=5_std_DREMI_score	wo_outliers_no-arcsinh_cutoff=3_std_DREMI_score	wo_outliers_no-arcsinh_cutoff=4_std_DREMI_score	wo_outliers_no-arcsinh_cutoff=5_std_DREMI_score
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	157Gd_pMKK3_6	330	38	296	109	34	77	60	33	28	23018	0.142640433	0.064688206	0.115512185	0.14581971	0.184686803	0.036748716	0.04288846	0.058410037
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	158Gd_pP38	451	38	418	166	34	133	69	33	36	23018	0.110362122	0.04462816	0.107445143	0.142862352	0.15112299	0.044133646	0.048583961	0.067162202
239	239	13	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	159Tb_pMAPKAPK2	289	38	280	132	34	126	77	33	70	23018	0.378574435	0.202211871	0.093404751	0.117444302	0.120779303	0.086514043	0.091554264	0.115298704
239	239	1	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	160Gd_pAMPKa	215	38	184	77	34	48	49	33	17	23018	0.202265213	0.13534257	0.113974217	0.161788143	0.199000705	0.055944276	0.061028722	0.082697818
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	161Dy_pBAD	351	38	313	131	34	97	59	33	26	23018	0.179395914	0.02641518	0.114908962	0.153378196	0.157488537	0.059369652	0.060942791	0.076559251
240	239	1	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	163Dy_pP90RSK	396	38	358	150	34	116	85	33	52	23018	0.151944657	0.097881982	0.092331543	0.140447951	0.165241782	0.044821715	0.051147717	0.07107379
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	164Dy_pP120-Catenin	336	38	312	68	34	42	38	33	9	23018	0.181650769	0.046539094	0.11569311	0.156659207	0.164232396	0.052129212	0.049174877	0.063687086
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	165Ho_Beta-Catenin_Active	334	38	296	93	34	59	50	33	17	23018	0.132319498	0.028007832	0.109663243	0.142466461	0.155778917	0.041770042	0.045809008	0.058674571
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	166Er_pGSK3b	381	38	344	134	34	100	61	33	28	23018	0.16342325	0.048784467	0.068831522	0.080923154	0.097159551	0.050144403	0.059167266	0.077513673
240	239	1	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	167Er_pERK1_2	495	38	457	254	34	220	160	33	127	23018	0.116398894	0.11851613	0.079766418	0.097220322	0.112473713	0.085488951	0.085392527	0.100961603
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	168Er_pSMAD2_3	358	38	320	184	34	150	125	33	92	23018	0.147005377	0.061760515	0.046470785	0.052988787	0.070137078	0.061123525	0.080128574	0.101121341
241	239	2	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	169Tm_pSTAT3	389	38	355	200	34	167	130	33	98	23018	0.089983819	0.112928044	0.04963769	0.062915309	0.08614362	0.066618325	0.080058581	0.091882931
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	172Yb_pS6	443	38	405	273	34	239	192	33	159	23018	0.098309682	0.069356323	0.047096661	0.048101141	0.068575369	0.115707744	0.125196478	0.142665892
239	0	239	67	0	67	49	0	49	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	89Y_pHH3	280	245	38	61	27	34	36	3	33	23018	0.134314528	0.062127559	0.112967195	0.125050257	0.13691028	0.042301165	0.048301674	0.084542144
20	0	20	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	142Nd_cCaspase 3	680	245	435	303	27	276	184	3	181	23018	0.46363787	0.519683543	0.471643226	-	-	0.548616461	0.566474626	0.559384307
21	0	21	1	0	1	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	143Nd_C-MYC	518	245	300	136	27	110	60	3	57	23018	0.337551563	0.253270394	0.344770317	0.341849901	-	0.168568873	0.191386789	0.207484118
5	0	5	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	144Nd_pMEK1_2	433	245	236	94	27	69	40	3	38	23018	0.69366065	0.522431062	0.697457915	-	-	0.500896542	0.549276067	0.572605596
8	0	8	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	146Nd_pMKK4_SEK1	458	245	262	114	27	88	41	3	38	23018	0.648434656	0.369948955	0.644956256	-	-	0.343278205	0.36716247	0.372044809
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	147Sm_pBTK1	494	245	354	116	27	96	22	3	19	23018	0.805331522	0.775810655	-	-	-	0.708590911	0.786661831	0.770443397
1	0	1	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	148Nd_pSRC	607	245	406	177	27	152	52	3	49	23018	0.697353674	0.369210174	0.692004053	-	-	0.412976648	0.420761146	0.42359865
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	149Sm_p4E-BP1	558	245	407	147	27	126	41	3	39	23018	1.09455304	0.694319647	-	-	-	0.75195474	0.77365536	0.746149693
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	150Nd_pRB	615	245	397	202	27	179	78	3	76	23018	0.655850909	0.214231461	-	-	-	0.27758437	0.253123259	0.244622035
4	0	4	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	151Eu_pPKCa	487	245	272	118	27	92	45	3	42	23018	0.771275757	0.33723795	0.766629219	-	-	0.409404752	0.41458536	0.431157852
25	0	25	8	0	8	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	152Sm_pAKT T308	355	245	118	71	27	44	36	3	33	23018	0.558964375	0.159777679	0.551025157	0.55232758	-	0.222833737	0.24147867	0.23008284
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	153Eu_pCREB	552	245	333	145	27	118	56	3	53	23018	0.782844025	0.309433976	-	-	-	0.34508342	0.346933518	0.315439097
3	0	3	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	154Sm_pSMAD1_5_9	522	245	302	104	27	78	24	3	21	23018	0.254000118	0.197344267	0.26062677	-	-	0.123501659	0.141636175	0.147920627
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	155Gd_pAKT S473	530	245	338	115	27	92	27	3	24	23018	0.545367073	0.352041595	-	-	-	0.301785144	0.33247472	0.353286175
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	156Gd_pNF-kB	533	245	374	158	27	141	79	3	76	23018	0.544552093	0.726730848	-	-	-	0.701866707	0.762371237	0.760781571
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	157Gd_pMKK3_6	451	245	296	96	27	77	30	3	28	23018	0.799406742	0.773490192	-	-	-	0.676103683	0.772010326	0.782837615
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	158Gd_pP38	565	245	418	153	27	133	39	3	36	23018	1.067558575	0.670631445	-	-	-	0.631290873	0.679484696	0.680440386
13	0	13	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	159Tb_pMAPKAPK2	502	245	280	151	27	126	73	3	70	23018	0.69023565	0.280766278	0.676564034	-	-	0.304298971	0.350396108	0.359233544
1	0	1	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	160Gd_pAMPKa	375	245	184	73	27	48	20	3	17	23018	1.139681294	0.630890439	1.131992604	-	-	0.804962258	0.871720222	0.848523508
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	161Dy_pBAD	500	245	313	121	27	97	28	3	26	23018	0.894236568	0.443867419	-	-	-	0.436379054	0.472869087	0.466432537
1	0	1	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	163Dy_pP90RSK	526	245	358	139	27	116	54	3	52	23018	0.664503463	0.539731483	0.667041369	-	-	0.528866533	0.600562894	0.592342718
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	164Dy_pP120-Catenin	507	245	312	68	27	42	11	3	9	23018	1.16951349	0.645137347	-	-	-	0.747139504	0.771674795	0.720781279
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	165Ho_Beta-Catenin_Active	488	245	296	84	27	59	20	3	17	23018	0.59520579	0.516041227	-	-	-	0.430087167	0.515328229	0.532919031
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	166Er_pGSK3b	543	245	344	125	27	100	31	3	28	23018	0.291787288	0.26979378	-	-	-	0.206248421	0.223742443	0.22624676
1	0	1	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	167Er_pERK1_2	646	245	457	241	27	220	130	3	127	23018	0.59452951	0.218048757	0.601581855	-	-	0.269001666	0.292304648	0.32019735
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	168Er_pSMAD2_3	564	245	320	177	27	150	95	3	92	23018	0.101973223	0.136461362	-	-	-	0.070254563	0.071685224	0.076938213
2	0	2	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	169Tm_pSTAT3	580	245	355	194	27	167	101	3	98	23018	0.432808069	0.221538941	0.430299841	-	-	0.277844018	0.277901091	0.250201678
0	0	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	141Pr_pPDK1	172Yb_pS6	645	245	405	266	27	239	162	3	159	23018	0.224963905	0.152097994	-	-	-	0.091317157	0.093803514	0.108901269
259	20	239	67	0	67	49	0	49	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	89Y_pHH3	473	435	38	310	276	34	214	181	33	23018	0.067799519	0.052515333	0.118514869	0.107266799	0.096728744	0.039882758	0.027658706	0.025636914
20	20	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	141Pr_pPDK1	680	435	245	303	276	27	184	181	3	23018	0.500589446	0.304775764	0.514914682	-	-	0.434939556	0.410922841	0.392286688
41	20	21	1	0	1	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	143Nd_C-MYC	727	435	300	384	276	110	236	181	57	23018	0.268482105	0.197730913	0.250467845	0.269604206	-	0.12561575	0.115858948	0.108177888
25	20	5	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	144Nd_pMEK1_2	671	435	236	345	276	69	219	181	38	23018	0.329179602	0.186898001	0.348471095	-	-	0.275386478	0.250278306	0.21489654
28	20	8	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	146Nd_pMKK4_SEK1	692	435	262	363	276	88	219	181	38	23018	0.266141301	0.141501059	0.277820813	-	-	0.209441774	0.175681729	0.1525633
20	20	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	147Sm_pBTK1	782	435	354	370	276	96	199	181	19	23018	0.482571531	0.18169783	0.508953809	-	-	0.274468822	0.250158233	0.230557042
21	20	1	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	148Nd_pSRC	841	435	406	428	276	152	230	181	49	23018	0.281468868	0.170667059	0.302960535	-	-	0.249931271	0.238914747	0.210982239
20	20	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	149Sm_p4E-BP1	842	435	407	402	276	126	220	181	39	23018	0.365100837	0.298259998	0.377083051	-	-	0.40501027	0.376470132	0.362248368
20	20	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	150Nd_pRB	832	435	397	455	276	179	257	181	76	23018	0.354332886	0.243382285	0.359434073	-	-	0.410935048	0.379390176	0.351854737
24	20	4	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	151Eu_pPKCa	707	435	272	368	276	92	223	181	42	23018	0.310697647	0.126588798	0.328842651	-	-	0.374595606	0.332813147	0.290024764
45	20	25	8	0	8	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	152Sm_pAKT T308	552	435	118	320	276	44	214	181	33	23018	0.203494612	0.088283868	0.213032032	0.200016748	-	0.211327837	0.174750577	0.147664452
20	20	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	153Eu_pCREB	767	435	333	393	276	118	234	181	53	23018	0.262608904	0.222478812	0.258361794	-	-	0.275067342	0.250984568	0.213718588
22	20	3	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	154Sm_pSMAD1_5_9	734	435	302	353	276	78	201	181	21	23018	0.168095323	0.110269369	0.17655776	-	-	0.098065601	0.09250339	0.077218218
20	20	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	155Gd_pAKT S473	772	435	338	367	276	92	205	181	24	23018	0.2476364	0.174107064	0.249998921	-	-	0.2317012	0.221048747	0.189124919
20	20	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	156Gd_pNF-kB	806	435	374	416	276	141	256	181	76	23018	0.278666793	0.208658849	0.297402317	-	-	0.290037762	0.265392609	0.249470724
20	20	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	157Gd_pMKK3_6	728	435	296	352	276	77	208	181	28	23018	0.389663133	0.156868892	0.4028849	-	-	0.221865517	0.203515316	0.168994303
20	20	0	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	158Gd_pP38	852	435	418	409	276	133	217	181	36	23018	0.438812948	0.260859269	0.434713481	-	-	0.31785273	0.290607502	0.250663247
33	20	13	0	0	0	0	0	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	142Nd_cCaspase 3	159Tb_pMAPKAPK2	710	435	280	401	276	126	251	181	70	23018	0.209896756	0.108317172	0.2206652	-	-	0.212920955	0.179857158	0.159561351
