EMD_no_norm_arc	file_origin	denominator	marker	median_diff_no_norm_arc_compare_from_vs_to	median_no_norm_arc_compare_from	median_no_norm_arc_compare_to
-0.366380836	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	160Gd_pAMPKa	-0.356478453	1.802600145	2.159078598
-0.660807949	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	161Dy_pBAD	-0.539138436	1.336711287	1.875849724
-0.584469117	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	163Dy_pP90RSK	-0.640525699	1.285643339	1.926169038
-1.368904594	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	164Dy_pP120-Catenin	-2.118005991	1.188482285	3.306488276
-0.552634911	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	165Ho_Beta-Catenin_Active	-0.549002886	2.308839321	2.857842207
-0.974404881	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	166Er_pGSK3b	-1.129898787	2.128057003	3.25795579
-0.854733249	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	167Er_pERK1_2	-0.954761744	2.006659031	2.961420774
-0.622465061	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	168Er_pSMAD2_3	-0.548943996	2.76178813	3.310732126
0.074405909	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	169Tm_GFP	0	0	0
-0.457289949	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	170Er_pMEK1_2	-0.714101195	1.396841884	2.110943079
-0.213747104	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	172Yb_pS6	-0.402705073	1.204406857	1.607111931
-0.459208011	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	176Yb_Cyclin B1	-0.452344656	2.414577723	2.866922379
-2.462672293	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	209Bi_DiMeHH3	-3.176742554	2.636300564	5.813043118
0.07250223	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	89Y_pHH3	0.016344782	0.016344782	0
-0.855661788	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	127I_IdU	-0.014858956	0	0.014858956
-0.35723227	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	142Nd_cCaspase 3	-0.340420842	1.936407447	2.276828289
0.101710534	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	144Nd_Lysozyme	0.075405806	0.489967912	0.414562106
0.150459044	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	145Nd_FABP1	0.18950367	2.575203657	2.385699987
1.34248873	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	150Nd_pRB	0.571037769	3.446742058	2.875704288
0.368836059	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	162Dy_LRIG1	0.488193214	1.377073407	0.888880193
-0.890491888	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	171Yb_CLCA1	-0.732188582	0	0.732188582
0.905669461	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	173Yb_DCAMKL1	1.715589285	1.715589285	0
-0.751600745	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	174Yb_CHGA	-0.033404417	0	0.033404417
1.175505892	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	175Lu_CD44	2.122951269	2.122951269	0
0.410062156	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	113In_EpCAM	0.454671144	2.883275032	2.428603888
0.64755607	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	115In_Pan-CK	0.696248055	3.559431553	2.863183498
0.089294907	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	130Te_TePhe	0.116956949	1.319182754	1.202225804
0.654517442	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	141Pr_pPDPK1	0.595823765	2.725710154	2.129886389
0.213725993	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	143Nd_C-MYC	0.251458108	1.227619886	0.976161778
0.112830785	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	146Nd_pMKK4_SEK1	0.06825757	1.370089769	1.301832199
0.128925425	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	147Sm_pBTK	0.02122879	2.613600969	2.592372179
0.272560828	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	148Nd_pSRC	0.223262548	2.087168455	1.863905907
0.898161795	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	149Sm_p4E-BP1	0.887876868	2.578454018	1.690577149
0.706991819	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	151Eu_pPKCa	0.65478301	2.07551527	1.42073226
0.491501071	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	152Sm_pAKT T308	0.562135816	1.71524775	1.153111935
0.624691638	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	153Eu_pCREB	0.711230397	2.099688292	1.388457894
0.054664986	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	154Sm_pSMAD1_5_9	0.054143906	1.014985681	0.960841775
0.274252453	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	155Gd_pAKT S473	0.347067952	1.26446104	0.917393088
0.484783974	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	156Gd_pNF-kB p65	0.395317316	2.730380058	2.335062742
-0.128707569	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	157Gd_pMKK3_MKK6	-0.036137819	2.038017273	2.074155092
0.801155431	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	158Gd_pP38 MAPK	0.504081011	3.569620609	3.065539598
0.363568134	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	159Tb_pMAPKAPK2	0.29561317	2.251516819	1.955903649
0.75620547	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	160Gd_pAMPKa	0.788824081	2.947902679	2.159078598
0.549483999	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	161Dy_pBAD	0.624032021	2.499881744	1.875849724
0.32742559	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	163Dy_pP90RSK	0.286418557	2.212587595	1.926169038
1.277112253	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	164Dy_pP120-Catenin	0.620718956	3.927207232	3.306488276
0.086518346	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	165Ho_Beta-Catenin_Active	0.011197567	2.869039774	2.857842207
0.357988917	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	166Er_pGSK3b	0.179643393	3.437599182	3.25795579
0.447930123	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	167Er_pERK1_2	0.339720488	3.301141262	2.961420774
-0.226020324	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	168Er_pSMAD2_3	-0.168302059	3.142430067	3.310732126
0.020698536	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	169Tm_GFP	0	0	0
0.209395996	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	170Er_pMEK1_2	0.228574991	2.33951807	2.110943079
0.56335849	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	172Yb_pS6	0.785035849	2.392147779	1.607111931
0.242993747	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	176Yb_Cyclin B1	0.199374676	3.066297054	2.866922379
1.678585921	"DCAMKL1+, pRB+, CD44+ (Tuft Gate 1)_revision"	Ungated	209Bi_DiMeHH3	0.615093231	6.428136349	5.813043118
0.071183299	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	89Y_pHH3	0.015041007	0.015041007	0
-0.888658701	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	127I_IdU	-0.014858956	0	0.014858956
-0.412074373	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	142Nd_cCaspase 3	-0.410234809	1.86659348	2.276828289
0.100699545	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	144Nd_Lysozyme	0.047447324	0.46200943	0.414562106
0.212245808	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	145Nd_FABP1	0.269071579	2.654771566	2.385699987
1.336701719	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	150Nd_pRB	0.574910879	3.450615168	2.875704288
0.21395288	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	162Dy_LRIG1	0.255891383	1.144771576	0.888880193
0.84699794	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	171Yb_CLCA1	1.115916371	1.848104954	0.732188582
0.498424898	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	173Yb_DCAMKL1	0	0	0
-0.75347597	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	174Yb_CHGA	-0.033404417	0	0.033404417
0.945020895	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	175Lu_CD44	0	0	0
0.262829073	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	113In_EpCAM	0.302364111	2.730967999	2.428603888
0.813778656	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	115In_Pan-CK	0.85449791	3.717681408	2.863183498
0.070089706	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	130Te_TePhe	0.08299458	1.285220385	1.202225804
0.592230729	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	141Pr_pPDPK1	0.524390459	2.654276848	2.129886389
0.200954591	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	143Nd_C-MYC	0.233690202	1.20985198	0.976161778
-0.096856036	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	146Nd_pMKK4_SEK1	-0.018640637	1.283191562	1.301832199
0.128903902	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	147Sm_pBTK	0.036508799	2.628880978	2.592372179
0.214797693	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	148Nd_pSRC	0.152049303	2.01595521	1.863905907
0.789025481	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	149Sm_p4E-BP1	0.799852252	2.490429401	1.690577149
0.665714792	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	151Eu_pPKCa	0.613494873	2.034227133	1.42073226
0.458089195	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	152Sm_pAKT T308	0.53313446	1.686246395	1.153111935
0.531919877	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	153Eu_pCREB	0.623556733	2.012014627	1.388457894
0.044210825	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	154Sm_pSMAD1_5_9	0.034685731	0.995527506	0.960841775
0.24427093	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	155Gd_pAKT S473	0.314524174	1.231917262	0.917393088
0.520830542	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	156Gd_pNF-kB p65	0.437237501	2.772300243	2.335062742
-0.142736783	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	157Gd_pMKK3_MKK6	-0.097221971	1.976933122	2.074155092
0.771122435	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	158Gd_pP38 MAPK	0.475149393	3.540688992	3.065539598
0.26996518	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	159Tb_pMAPKAPK2	0.183067203	2.138970852	1.955903649
0.735732997	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	160Gd_pAMPKa	0.79187727	2.950955868	2.159078598
0.619245164	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	161Dy_pBAD	0.717153549	2.593003273	1.875849724
0.27576638	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	163Dy_pP90RSK	0.232858062	2.1590271	1.926169038
1.185458059	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	164Dy_pP120-Catenin	0.52925849	3.835746765	3.306488276
-0.058375786	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	165Ho_Beta-Catenin_Active	-0.021590948	2.836251259	2.857842207
0.344891253	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	166Er_pGSK3b	0.161076307	3.419032097	3.25795579
0.342723994	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	167Er_pERK1_2	0.262749434	3.224170208	2.961420774
-0.23079338	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	168Er_pSMAD2_3	-0.198518515	3.112213612	3.310732126
0.021309583	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	169Tm_GFP	0	0	0
0.187739752	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	170Er_pMEK1_2	0.175767183	2.286710262	2.110943079
0.538508905	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	172Yb_pS6	0.773353577	2.380465508	1.607111931
0.173165124	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	176Yb_Cyclin B1	0.12587285	2.992795229	2.866922379
1.734534118	"CLCA1+, pRB+, CD44- (Goblet Gate 2)_revision"	Ungated	209Bi_DiMeHH3	0.676585674	6.489628792	5.813043118
0.101337849	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	89Y_pHH3	0	0	0
-0.916674713	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	127I_IdU	-0.014858956	0	0.014858956
1.161998036	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	142Nd_cCaspase 3	1.148380041	3.42520833	2.276828289
0.24934691	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	144Nd_Lysozyme	0.313191891	0.727753997	0.414562106
1.876683863	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	145Nd_FABP1	1.783750772	4.16945076	2.385699987
-1.691829005	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	150Nd_pRB	-2.636940241	0.238764137	2.875704288
-0.501969658	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	162Dy_LRIG1	-0.489503592	0.399376601	0.888880193
0.298045299	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	171Yb_CLCA1	0.594093919	1.326282501	0.732188582
0.140417601	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	173Yb_DCAMKL1	0.363991529	0.363991529	0
-0.193810872	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	174Yb_CHGA	-0.033404417	0	0.033404417
0.956751937	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	175Lu_CD44	0	0	0
-0.481580334	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	113In_EpCAM	-0.489901781	1.938702106	2.428603888
-0.690058558	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	115In_Pan-CK	-0.779361725	2.083821774	2.863183498
0.144047492	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	130Te_TePhe	0.165604472	1.367830276	1.202225804
-0.618989654	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	141Pr_pPDPK1	-0.696057558	1.433828831	2.129886389
0.101795937	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	143Nd_C-MYC	0.040936172	1.01709795	0.976161778
0.750931037	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	146Nd_pMKK4_SEK1	0.809085131	2.11091733	1.301832199
0.360181183	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	147Sm_pBTK	0.380863667	2.973235846	2.592372179
-0.099990905	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	148Nd_pSRC	-0.126386046	1.73751986	1.863905907
-1.040265376	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	149Sm_p4E-BP1	-1.201463223	0.489113986	1.690577149
-0.871966452	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	151Eu_pPKCa	-1.11569953	0.30503276	1.42073226
-0.476698721	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	152Sm_pAKT T308	-0.524450481	0.628661454	1.153111935
-0.72479417	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	153Eu_pCREB	-0.846011698	0.542446196	1.388457894
0.167132628	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	154Sm_pSMAD1_5_9	0.207286835	1.16812861	0.960841775
-0.167382376	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	155Gd_pAKT S473	-0.175902307	0.741490781	0.917393088
-0.36862396	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	156Gd_pNF-kB p65	-0.360428572	1.974634171	2.335062742
0.439764887	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	157Gd_pMKK3_MKK6	0.453957319	2.528112411	2.074155092
-0.846337971	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	158Gd_pP38 MAPK	-1.102163315	1.963376284	3.065539598
-0.364509491	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	159Tb_pMAPKAPK2	-0.409100294	1.546803355	1.955903649
-0.821963943	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	160Gd_pAMPKa	-0.839268088	1.31981051	2.159078598
0.362449126	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	161Dy_pBAD	0.14800787	2.023857594	1.875849724
-0.144019774	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	163Dy_pP90RSK	-0.105667114	1.820501924	1.926169038
-1.514926271	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	164Dy_pP120-Catenin	-2.199892759	1.106595516	3.306488276
0.425871611	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	165Ho_Beta-Catenin_Active	0.397857428	3.255699635	2.857842207
0.553256272	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	166Er_pGSK3b	0.561603785	3.819559574	3.25795579
-0.156364789	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	167Er_pERK1_2	-0.080595732	2.880825043	2.961420774
0.815984245	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	168Er_pSMAD2_3	0.74635005	4.057082176	3.310732126
0.104653013	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	169Tm_GFP	0.064103059	0.064103059	0
0.159722371	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	170Er_pMEK1_2	0.188111305	2.299054384	2.110943079
-0.495166202	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	172Yb_pS6	-1.012756348	0.594355583	1.607111931
0.125451553	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	176Yb_Cyclin B1	0.067951441	2.934873819	2.866922379
-1.717503489	"FABP1+, pRB-, CD44- (Enterocyte Gate 4)_revision"	Ungated	209Bi_DiMeHH3	-2.436816931	3.376226187	5.813043118
0.073752509	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	89Y_pHH3	0.018628344	0.018628344	0
0.396770239	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	127I_IdU	0.105568118	0.120427072	0.014858956
-0.392021892	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	142Nd_cCaspase 3	-0.388898134	1.887930155	2.276828289
0.098788327	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	144Nd_Lysozyme	0.012135893	0.426697999	0.414562106
-0.13983357	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	145Nd_FABP1	-0.155642271	2.230057716	2.385699987
1.446862898	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	150Nd_pRB	0.663623333	3.539327621	2.875704288
0.284076881	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	162Dy_LRIG1	0.388804495	1.277684689	0.888880193
-0.234961811	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	171Yb_CLCA1	-0.542026639	0.190161973	0.732188582
0.500212716	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	173Yb_DCAMKL1	0	0	0
1.239890114	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	174Yb_CHGA	2.017201424	2.050605774	0.033404417
0.678068716	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	175Lu_CD44	1.691570997	1.691570997	0
0.297160589	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	113In_EpCAM	0.343053579	2.771657467	2.428603888
0.684800045	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	115In_Pan-CK	0.72446847	3.587651968	2.863183498
0.058941767	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	130Te_TePhe	0.064964175	1.26718998	1.202225804
0.602026516	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	141Pr_pPDPK1	0.544244528	2.674130917	2.129886389
0.173226421	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	143Nd_C-MYC	0.199569643	1.175731421	0.976161778
-0.120945467	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	146Nd_pMKK4_SEK1	-0.064582229	1.23724997	1.301832199
0.119655333	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	147Sm_pBTK	0.033130407	2.625502586	2.592372179
0.246357877	"CHGA+, pRB+, CD44+ - CONCAT _revision"	Ungated	148Nd_pSRC	0.198447227	2.062353134	1.863905907
